ship_mode,segment,country,city,state,Postal_Code,region,category,sub_category, Sales ,Quantity,Discount,Profit
Second Class,Consumer,United States,los Angeles,Kentucky,42420,South,Furniture,Bookcases, 261.96 ,2,0%,41.9136
Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs, 731.94 ,3,0%,219.582
Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels, 14.62 ,2,0%,6.8714
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables, 957.58 ,5,45%,-383.031
Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage, 22.37 ,2,20%,2.5164
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Furnishings, 48.86 ,7,0%,14.1694
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art, 7.28 ,4,0%,1.9656
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones, 907.15 ,6,20%,90.7152
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders, 18.50 ,3,20%,5.7825
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Appliances, 114.90 ,5,0%,34.47
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables," 1,706.18 ",9,20%,85.3092
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones, 911.42 ,4,20%,68.3568
Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper, 15.55 ,3,20%,5.4432
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Binders, 407.98 ,3,20%,132.5922
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances, 68.81 ,5,80%,-123.858
Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Binders, 2.54 ,3,80%,-3.816
Standard Class,Consumer,United States,Madison,Wisconsin,53711,Central,Office Supplies,Storage, 665.88 ,6,0%,13.3176
Second Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Storage, 55.50 ,2,0%,9.99
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art, 8.56 ,2,0%,2.4824
Second Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones, 213.48 ,3,20%,16.011
Second Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Binders, 22.72 ,4,20%,7.384
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Art, 19.46 ,7,0%,5.0596
Standard Class,Corporate,United States,Fremont,Nebraska,68025,Central,Office Supplies,Appliances, 60.34 ,7,0%,15.6884
Second Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs, 71.37 ,2,30%,-1.0196
Standard Class,Consumer,United States,Orem,Utah,84057,West,Furniture,Tables," 1,044.63 ",3,0%,240.2649
Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders, 11.65 ,2,20%,4.2224
Second Class,Consumer,United States,Los Angeles,California,90049,West,Technology,Accessories, 90.57 ,3,0%,11.7741
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Bookcases," 3,083.43 ",7,50%,-1665.0522
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders, 9.62 ,2,70%,-7.0532
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings, 124.20 ,3,20%,15.525
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes, 3.26 ,2,20%,1.1016
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art, 86.30 ,6,20%,9.7092
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders, 6.86 ,6,70%,-5.715
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art, 15.76 ,2,20%,3.546
Second Class,Home Office,United States,Houston,Texas,77095,Central,Office Supplies,Paper, 29.47 ,3,20%,9.9468
First Class,Corporate,United States,Richardson,Texas,75080,Central,Technology,Phones," 1,097.54 ",7,20%,123.4737
First Class,Corporate,United States,Richardson,Texas,75080,Central,Furniture,Furnishings, 190.92 ,5,60%,-147.963
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Office Supplies,Envelopes, 113.33 ,9,20%,35.415
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Bookcases, 532.40 ,3,32%,-46.9764
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Furniture,Chairs, 212.06 ,3,30%,-15.147
Standard Class,Home Office,United States,Houston,Texas,77041,Central,Technology,Phones, 371.17 ,4,20%,41.7564
Standard Class,Corporate,United States,Naperville,Illinois,60540,Central,Technology,Phones, 147.17 ,4,20%,16.5564
Standard Class,Corporate,United States,Los Angeles,California,90049,West,Office Supplies,Storage, 77.88 ,2,0%,3.894
Standard Class,Corporate,United States,Melbourne,Florida,32935,South,Office Supplies,Storage, 95.62 ,2,20%,9.5616
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Technology,Accessories, 45.98 ,2,0%,19.7714
First Class,Corporate,United States,Eagan,Minnesota,55122,Central,Office Supplies,Binders, 17.46 ,2,0%,8.2062
Second Class,Consumer,United States,Westland,Michigan,48185,Central,Office Supplies,Storage, 211.96 ,4,0%,8.4784
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Accessories, 45.00 ,3,0%,4.95
Standard Class,Consumer,United States,Dover,Delaware,19901,East,Technology,Phones, 21.80 ,2,0%,6.104
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Binders, 38.22 ,6,0%,17.9634
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Office Supplies,Labels, 75.18 ,6,0%,35.3346
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Furnishings, 6.16 ,2,0%,2.9568
Standard Class,Consumer,United States,New Albany,Indiana,47150,Central,Furniture,Chairs, 89.99 ,1,0%,17.0981
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Fasteners, 15.26 ,7,0%,6.2566
Standard Class,Corporate,United States,New York City,New York,10024,East,Technology,Phones," 1,029.95 ",5,0%,298.6855
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Storage, 208.56 ,6,0%,52.14
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper, 32.40 ,5,0%,15.552
First Class,Consumer,United States,Troy,New York,12180,East,Furniture,Chairs, 319.41 ,5,10%,7.098
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Paper, 14.56 ,2,0%,6.9888
First Class,Consumer,United States,Troy,New York,12180,East,Technology,Accessories, 30.00 ,2,0%,3.3
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Binders, 48.48 ,4,20%,16.362
First Class,Consumer,United States,Troy,New York,12180,East,Office Supplies,Art, 1.68 ,1,0%,0.84
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Technology,Accessories, 13.98 ,2,0%,6.1512
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders, 25.82 ,6,20%,9.3612
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper, 146.73 ,3,0%,68.9631
Standard Class,Consumer,United States,Los Angeles,California,90004,West,Furniture,Furnishings, 79.76 ,4,0%,22.3328
Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Chairs, 213.12 ,5,30%,-15.2225
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Office Supplies,Art," 1,113.02 ",8,20%,111.3024
Standard Class,Corporate,United States,Gilbert,Arizona,85234,West,Technology,Phones, 167.97 ,4,20%,62.988
First Class,Consumer,United States,Springfield,Virginia,22153,South,Office Supplies,Paper, 75.88 ,2,0%,35.6636
Standard Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Binders, 4.62 ,1,20%,1.731
Second Class,Consumer,United States,Jackson,Michigan,49201,Central,Office Supplies,Paper, 19.05 ,3,0%,8.763
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Chairs, 831.94 ,8,20%,-114.3912
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Furniture,Furnishings, 97.04 ,2,20%,1.213
Standard Class,Consumer,United States,Memphis,Tennessee,38109,South,Office Supplies,Storage, 72.78 ,1,20%,-18.196
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Binders, 1.25 ,3,80%,-1.9344
First Class,Corporate,United States,Houston,Texas,77041,Central,Furniture,Furnishings, 9.71 ,3,60%,-5.8248
First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Storage, 27.24 ,3,20%,2.724
Second Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings, 19.30 ,5,60%,-14.475
First Class,Corporate,United States,Decatur,Alabama,35601,South,Office Supplies,Appliances, 208.16 ,1,0%,56.2032
